CSV文件,列序号,中文字段,字段名,危险等级
Activity_SevenDaily.csv,5,条件参数,ConditionParameters,
Activity_SevenDaily.csv,6,任务奖励,Award,1
Activity_SevenDaily.csv,7,活动ID,ActivityId,
Activity_SevenDaily.csv,8,图标,Icon,
Activity_SevenDaily.csv,9,跳转systemid,GoParams,
Activity_SevenDaily.csv,10,Key_奖励描述,Key_Tips,
Activity_SevenDaily.csv,11,奖励描述,Tips,1
Activity_SkinList.csv,1,ID,ID,
Activity_SkinList.csv,2,Key_名称,Key_Name,
Activity_SkinList.csv,3,名称,Name,
Activity_SkinList.csv,4,商品id,ShopID,1
Activity_SkinList.csv,5,关联皮肤id,SkinID,
Activity_SkinList.csv,6,Missionid,MissionID,
Activity_SkinList.csv,7,SpineId,SpineID,
Activity_SkinList.csv,8,Banner图路径,BannerBg,
Activity_Tower.csv,1,流水ID,Id,
Activity_Tower.csv,2,关卡层数,TowerId,
Activity_Tower.csv,3,名次闭区间初始值,RankingRangeMin,
Activity_Tower.csv,4,名次闭区间终值,RankingRangeMax,
Activity_Tower.csv,5,名次奖励,RankAward,1
Activity_Tower.csv,6,全局奖励,AllAward,1
Activity_Tower.csv,7,名次邮件,RankMail,
Activity_Tower.csv,8,全局邮件,AllMail,
ActivityAdventureConfigNew_Base.csv,1,流水ID,Id,
ActivityAdventureConfigNew_Base.csv,2,Key_关卡名称,Key_Name,
ActivityAdventureConfigNew_Base.csv,3,关卡名称,Name,
ActivityAdventureConfigNew_Base.csv,4,策划备注,NOTES,
ActivityAdventureConfigNew_Base.csv,5,章节表流水id,ChapterId,
ActivityAdventureConfigNew_Base.csv,6,关卡（四级）,LocalID,
ActivityAdventureConfigNew_Base.csv,7,目标场景ID,TypeParm,
ActivityAdventureConfigNew_Base.csv,8,奖励预览,RewardShow,1
ActivityAdventureConfigNew_Base.csv,9,首通奖励loot,FirstLoot,1
ActivityAdventureConfigNew_Base.csv,10,战前剧情,PreStory,
ActivityAdventureConfigNew_Base.csv,11,战后剧情,EndStory,
ActivityAdventureConfigNew_Base.csv,12,战前AVG剧情,PreAVGStory,
ActivityAdventureConfigNew_Base.csv,13,战后AVG剧情,EndAVGStory,
ActivityAdventureConfigNew_Base.csv,14,敌人信息,EnemyInfo,
ActivityAdventureConfigNew_Base.csv,15,关卡图标,Icon,
ActivityAdventureConfigNew_Base.csv,16,Key_第一星条件描述,Key_FirstStarGet,
ActivityAdventureConfigNew_Base.csv,17,第一星条件描述,FirstStarGet,
ActivityAdventureConfigNew_Base.csv,18,1星级条件,StarCondition1,
ActivityAdventureConfigNew_Base.csv,19,Key_第二星条件描述,Key_SecondStarGet,
ActivityAdventureConfigNew_Base.csv,20,第二星条件描述,SecondStarGet,
ActivityAdventureConfigNew_Base.csv,21,2星级条件,StarCondition2,
ActivityAdventureConfigNew_Base.csv,22,Key_第三星条件描述,Key_ThirdStarGet,
ActivityAdventureConfigNew_Base.csv,23,第三星条件描述,ThirdStarGet,
ActivityAdventureConfigNew_Base.csv,24,3星级条件,StarCondition3,
ActivityAdventureConfigNew_Base.csv,25,均衡模式,Balanced,
ActivityAdventureConfigNew_Base.csv,26,BOSS关卡,BossMission,
ActivityAdventureConfigNew_Chapter.csv,1,流水ID,Id,
ActivityAdventureConfigNew_Chapter.csv,2,章节组,Group,
ActivityAdventureConfigNew_Chapter.csv,3,Key_章节名称,Key_ChapterName,
ActivityAdventureConfigNew_Chapter.csv,4,章节名称,ChapterName,
ActivityAdventureConfigNew_Chapter.csv,5,Key_章节序号名称,Key_ChapterNumber,
ActivityAdventureConfigNew_Chapter.csv,6,章节序号,ChapterNumber,
ActivityAdventureConfigNew_Chapter.csv,7,地图预设文件,EpisodeMap,
ActivityAdventureConfigNew_Chapter.csv,8,解锁章节,UnlockParm,
ActivityAdventureConfigNew_Chapter.csv,9,章节图标,Icon,
ActivityAdventureConfigNew_Chapter.csv,10,星星奖励,StartReward,1
ActivityAdventureConfigNew_Chapter.csv,11,开启时间,StartTime,1
ActivityAdventureConfigNew_Chapter.csv,12,均衡模式,Balanced,
ActivityAdventureConfigNew_DevelopTree.csv,1,流水ID,Id,
ActivityAdventureConfigNew_DevelopTree.csv,2,所属期数,GroupId,
ActivityAdventureConfigNew_DevelopTree.csv,3,节点编号,Index,
ActivityAdventureConfigNew_DevelopTree.csv,4,前置节点,Unlock,
ActivityAdventureConfigNew_DevelopTree.csv,5,等级,Level,
ActivityAdventureConfigNew_DevelopTree.csv,6,类型,Type,
ActivityAdventureConfigNew_DevelopTree.csv,7,Key_节点描述,Key_NodeDes,
ActivityAdventureConfigNew_DevelopTree.csv,8,节点描述,NodeDes,
ActivityAdventureConfigNew_DevelopTree.csv,9,图标,Icon,
ActivityAdventureConfigNew_DevelopTree.csv,10,属性加成,Buff,
ActivityAdventureConfigNew_DevelopTree.csv,11,试用角色升火,TrialRoleUP,
ActivityAdventureConfigNew_DevelopTree.csv,12,升级消耗,Consume,1
ActivityAdventureConfigNew_DevelopTree.csv,13,基础属性加成,AddAttribute,
ActivityAdventureConfigNew_StartReward.csv,1,流水ID,Id,
ActivityAdventureConfigNew_StartReward.csv,2,备注,bz,
ActivityAdventureConfigNew_StartReward.csv,3,星星数量,StartNumber,
ActivityAdventureConfigNew_StartReward.csv,4,奖励,Reward,1
ActivityBossConfig_Base.csv,1,ID,ID,
ActivityBossConfig_Base.csv,2,关联活动id,OpActivityID,
ActivityBossConfig_Base.csv,3,boss名称,BossName,
ActivityBossConfig_Base.csv,4,关卡id,SceneID,
ActivityBossConfig_Base.csv,5,boss阶段组,BossLevelGroup,
ActivityBossConfig_Base.csv,6,boss单体task组,HighestPointTaskGroup,
ActivityBossConfig_Base.csv,7,boss累积task组,AccumulatePointTaskGroup,
ActivityBossConfig_Base.csv,8,积分系数,PointCoefficient,
ActivityBossConfig_Base.csv,9,积分排行榜id,RankID,
ActivityBossConfig_Base.csv,10,排行榜奖励结算时间,RankRewardTime,1
ActivityBossConfig_BossLevel.csv,1,ID,id,
ActivityBossConfig_BossLevel.csv,2,boss组,GroupId,
ActivityBossConfig_BossLevel.csv,3,Key_关卡名称,Key_Name,
ActivityBossConfig_BossLevel.csv,4,关卡名称,Name,
ActivityBossConfig_BossLevel.csv,5,等级,Difficult,
ActivityBossConfig_BossLevel.csv,6,SceneID,SceneID,
ActivityBossConfig_BossLevel.csv,7,开启时间,OpenTime,1
ActivityBossConfig_BossLevel.csv,8,生命调节系数,HpRate,
ActivityBossConfig_BossLevel.csv,9,攻击调节系数,AtkRate,
ActivityBossConfig_BossLevel.csv,10,防御调节系数,DefRate,
ActivityBossConfig_BossLevel.csv,11,魔抗调节系数,MgrRate,
ActivityBossConfig_BossLevel.csv,12,添加词条id,BuffIds,
ActivityBossConfig_BossLevel.csv,13,推荐战力,RecommendFight,
ActivityBossConfig_BossLevel.csv,14,首通奖励,FirstReward,1
ActivityBossConfig_BuffClient.csv,1,ID,ID,
ActivityBossConfig_BuffClient.csv,2,Key_名称,Key_Name,
ActivityBossConfig_BuffClient.csv,3,名称,Name,
ActivityBossConfig_BuffClient.csv,4,Key_描述,Key_Describe,
ActivityBossConfig_BuffClient.csv,5,描述,Describe,
ActivityBossConfig_PointsTask.csv,1,任务ID,Id,
ActivityBossConfig_PointsTask.csv,2,任务组,TaskGroup,
ActivityBossConfig_PointsTask.csv,3,Key_任务简介,Key_Des,
ActivityBossConfig_PointsTask.csv,4,任务简介,Des,
ActivityBossConfig_PointsTask.csv,5,任务积分目标,Target,
ActivityBossConfig_PointsTask.csv,6,任务奖励,Reward,1
ActivityBossConfig_StrongerHero.csv,1,ID,ID,
ActivityBossConfig_StrongerHero.csv,2,活动小id,BaseID,
ActivityBossConfig_StrongerHero.csv,3,角色id,HeroID,
ActivityBossConfig_StrongerHero.csv,4,Key_描述,Key_Describe,
ActivityBossConfig_StrongerHero.csv,5,描述,Describe,
ActivityBossConfigNew Mission.csv,1,ID,id,
ActivityBossConfigNew Mission.csv,2,boss组,GroupId,
ActivityBossConfigNew Mission.csv,3,Key_关卡名称,Key_Name,
ActivityBossConfigNew Mission.csv,4,关卡名称,Name,
ActivityBossConfigNew Mission.csv,5,等级,Difficult,
ActivityBossConfigNew Mission.csv,6,SceneID,SceneID,
ActivityBossConfigNew Mission.csv,7,生命调节系数,HpRate,
ActivityBossConfigNew Mission.csv,8,攻击调节系数,AtkRate,
ActivityBossConfigNew Mission.csv,9,防御调节系数,DefRate,
ActivityBossConfigNew Mission.csv,10,魔抗调节系数,MgrRate,
ActivityBossConfigNew Mission.csv,11,护甲调节系数,ArmorRate,
ActivityBossConfigNew Mission.csv,12,Buff,Buff,
ActivityBossConfigNew Mission.csv,13,Key_BUFF描述,Key_BuffDes,
ActivityBossConfigNew Mission.csv,14,BUFF描述,BuffDes,
ActivityBossConfigNew Mission.csv,15,BUFF图标,BuffIcon,
ActivityBossConfigNew_Base.csv,1,ID,ID,
ActivityBossConfigNew_Base.csv,2,boss名称,bz,
ActivityBossConfigNew_Base.csv,3,关卡ID,MissionID,
ActivityBossConfigNew_Base.csv,4,积分系数,PointCoefficient,
ActivityBossConfigNew_Base.csv,5,积分排行榜id,RankID,
ActivityBossConfigNew_Base.csv,6,排行榜奖励结算时间,RankRewardTime,1
ActivityBossConfigNew_Base.csv,7,开启时间,StartTime,1
ActivityBossConfigNew_Base.csv,8,结束时间,EndTime,1
ActivityBossConfigNew_Base.csv,9,关卡图标,Icon,
ActivityBossConfigNew_Base.csv,10,挑战次数,FightTime,1
ActivityBossConfigNew_Base.csv,11,奖励,Loot,1
ActivityBossConfigNew_Base.csv,12,奖励预览,RewardShow,1
ActivityBossConfigNew_Base.csv,13,均衡模式,Balanced,
ActivityBossConfigNew_Base.csv,14,大厅SceneID,HallSceneId,
ActivityBossConfigNew_ChallengeBuff.csv,1,ID,ID,
ActivityBossConfigNew_ChallengeBuff.csv,2,KeyP_BUFF描述,Key_Describe,
ActivityBossConfigNew_ChallengeBuff.csv,3,BUFF描述,Describe,
ActivityBossConfigNew_ChallengeBuff.csv,4,BOSSID,BossID,
ActivityBossConfigNew_ChallengeBuff.csv,5,BUFFID,BuffID,
ActivityBossConfigNew_ChallengeBuff.csv,6,得分加成,ScoreBonus,
ActivityBossConfigNew_Mission.csv,1,ID,id,
ActivityBossConfigNew_Mission.csv,2,Key_关卡名称,Key_Name,
ActivityBossConfigNew_Mission.csv,3,关卡名称,Name,
ActivityBossConfigNew_Mission.csv,4,敌人信息,EnemyInfo,
ActivityBossConfigNew_Mission.csv,5,目标场景ID,SceneId,
ActivityBossConfigNew_Mission.csv,6,生命调节系数,HpRate,
ActivityBossConfigNew_Mission.csv,7,攻击调节系数,AtkRate,
ActivityBossConfigNew_Mission.csv,8,防御调节系数,DefRate,
ActivityBossConfigNew_Mission.csv,9,魔抗调节系数,MgrRate,
ActivityBossConfigNew_Mission.csv,10,护甲调节系数,ArmorRate,
ActivityBossConfigNew_Mission.csv,11,Buff,Buff,
ActivityBossConfigNew_Mission.csv,12,Key_BUFF描述,Key_BuffDes,
ActivityBossConfigNew_Mission.csv,13,BUFF描述,BuffDes,
ActivityBossConfigNew_Mission.csv,14,BUFF图标,BuffIcon,
ActivityBossConfigNew_Mission.csv,15,均衡模式,Balanced,
ActivityCasualGameConfig_A7.csv,1,id,Id,
ActivityCasualGameConfig_A7.csv,2,活动id,ActivityId,
ActivityCasualGameConfig_A7.csv,3,天数,day,
ActivityCasualGameConfig_A7.csv,4,每日道具数量,Item_Times,1
ActivityCasualGameConfig_A7.csv,5,Key_明日提示词文本,Key_Hint,
ActivityCasualGameConfig_A7.csv,6,明日提示词文本,Hint,
ActivityCasualGameConfig_Base.csv,1,流水id,Id,
ActivityCasualGameConfig_Base.csv,2,描述,Description,
ActivityCasualGameConfig_Base.csv,3,关联活动id,OpActivityID,
ActivityCasualGameConfig_Base.csv,4,排行id,RankId,
ActivityCasualGameConfig_Base.csv,5,小游戏参数1,Param1,
ActivityCasualGameConfig_Base.csv,6,小游戏参数2,Param2,
ActivityCasualGameConfig_Base.csv,7,小游戏参数3,Param3,
ActivityCasualGameConfig_Base.csv,8,小游戏参数4,Param4,
ActivityCasualGameConfig_Base.csv,9,任务组（废弃）,TaskGroup,
ActivityCasualGameConfig_Base.csv,10,预制体,Prefab,
ActivityCasualGameConfig_Base.csv,11,活动开始时间,StartTime,1
ActivityCasualGameConfig_Base.csv,12,活动结束时间,EndTime,1
ActivityCasualGameConfig_Base.csv,13,小游戏参数数组说明,ParamsDescription,
ActivityTask_Base.csv,1,ID,id,
ActivityTask_Base.csv,2,积分道具,PointsItem,
ActivityTask_Base.csv,3,开启时间,StartTime,1
ActivityTask_Base.csv,4,结束时间,EndTime,1
ActivityTask_Base.csv,5,归属角色,HeroId,
ActivityTask_Base.csv,6,Key_标题,Key_Title,
ActivityTask_Base.csv,7,标题,Title,
ActivityTask_Base.csv,8,Key_规则描述,Key_Des,
ActivityTask_Base.csv,9,规则描述,Des,
ActivityTask_Base.csv,10,邮件模板,MailId,
ActivityTask_Base.csv,11,资源编号,ResourceNumber,
ActivityTask_PointsReward.csv,1,ID,id,
ActivityTask_PointsReward.csv,2,所属期数,Periods,
ActivityTask_PointsReward.csv,3,所需积分,NeedPoints,
ActivityTask_PointsReward.csv,4,奖励,Reward,1
ActivityTask_PointsReward.csv,5,头像显示,HeroShow,
ActivityTask_PointsReward.csv,6,顶部显示奖励,TopShow,1
ActivityTask_Stage.csv,1,ID,id,
ActivityTask_Stage.csv,2,所属期数,Periods,
ActivityTask_Stage.csv,3,开始时间,OpenDay,1
ActivityTask_Stage.csv,4,任务组id,QuestSubType,
ActivityTask_Stage.csv,5,礼包id,GiftPack,
AICardWeight_Base.csv,1,流水ID,Id,
AICardWeight_Base.csv,2,天空城卡牌类型,PVPCardType,
AICardWeight_Base.csv,3,检测条件,Condition,
AICardWeight_Base.csv,4,条件参数,ConditionsParameter,
AICardWeight_Base.csv,5,权重参数,WeightParameter,1
AIConfig_Array.csv,1,布阵格子流水ID,id,
AIConfig_Array.csv,2,格子顺序,natureID,
AIConfig_Base.csv,1,流水ID,id,
AIConfig_Base.csv,2,Key_信息,Key_Info,
AIConfig_Base.csv,3,信息,Info,
AIConfig_Base.csv,4,策划备注,Notes,
AIConfig_Base.csv,5,所属英雄或小兵,playerID,
AIConfig_Base.csv,6,决策逻辑ID,decisionID,
AIConfig_Base.csv,7,攻击行为逻辑ID,actionAttackID,
AIConfig_Base.csv,8,防御行为逻辑ID,actionDefenceID,
AIConfig_Base.csv,9,逃跑行为逻辑ID,actionRunAwayID,
AIConfig_Base.csv,10,待机行为逻辑ID,actionIdleID,
AIConfig_Base.csv,11,目标选择策略ID,setTargetID,
AIConfig_DecisionLogic.csv,1,流水ID,id,
AIConfig_DecisionLogic.csv,2,性格ID,natureID,
AIConfig_DecisionLogic.csv,3,强度等级,strengthLevel,
AIConfig_DecisionLogic.csv,4,决策行为树相对路径,btPath,
AIConfig_Threat.csv,1,职业ID,id,
AIConfig_Threat.csv,2,初始仇恨,DefaultThreat,
AIConfig_Threat.csv,3,普攻仇恨,ThreatAttackValue,
AIConfig_Threat.csv,4,战技仇恨,ThreatSkillValue,
AIConfig_Threat.csv,5,奥义仇恨,ThreatMaxSkillValue,
AIConfig_Threat.csv,6,普攻受击仇恨,ThreatTakeAttackValue,
AIConfig_Threat.csv,7,战技受击仇恨,ThreatTakeSkillValue,
AIConfig_Threat.csv,8,奥义受击仇恨,ThreatTakeMaxSkillValue,
AllianceBattleConfig_Base.csv,1,ID,id,
AllianceBattleConfig_Base.csv,2,描述,Des,
AllianceBattleConfig_Base.csv,3,开放时间,StartTime,1
AllianceBattleConfig_Base.csv,4,阶段时间,StageTime,
AllianceBattleConfig_Base.csv,5,阶段类型,StageType,
AllianceBattleConfig_Base.csv,6,使用关卡组,MissionGroup,
AllianceBattleConfig_Base.csv,7,关卡组挑战次数,GroupFightNumber,1
AllianceBattleConfig_Base.csv,8,使用BUFF,Buff,
AllianceBattleConfig_BUFF.csv,1,ID,id,
AllianceBattleConfig_BUFF.csv,2,Key_buff描述,Key_BuffDes,
AllianceBattleConfig_BUFF.csv,3,buff描述,BuffDes,
AllianceBattleConfig_BUFF.csv,4,Key_buff名称,Key_BuffName,
AllianceBattleConfig_BUFF.csv,5,buff名称,BuffName,
AllianceBattleConfig_BUFF.csv,6,buffID,BuffID,
AllianceBattleConfig_BUFF.csv,7,icon,Icon,
AllianceBattleConfig_BUFF.csv,8,buff作用目标,BuffTarget,
AllianceBattleConfig_Config.csv,1,流水ID,id,
AllianceBattleConfig_Config.csv,2,描述,des,
AllianceBattleConfig_Config.csv,3,key,Key,
AllianceBattleConfig_Config.csv,4,值,value,
AllianceBattleConfig_Mission.csv,1,ID,id,
AllianceBattleConfig_Mission.csv,2,Key_描述,Key_Des,
AllianceBattleConfig_Mission.csv,3,描述,Des,
AllianceBattleConfig_Mission.csv,4,标题,Title,
AllianceBattleConfig_Mission.csv,5,立绘,Image,
AllianceBattleConfig_Mission.csv,6,关卡组,MissionGroup,
AllianceBattleConfig_Mission.csv,7,循环数,Circulate,
AllianceBattleConfig_Mission.csv,8,下一关,Next,
AllianceBattleConfig_Mission.csv,9,首领怪物ID,BossID,
AllianceBattleConfig_Mission.csv,10,首领血量放大系数,BossHpAmplify,
AllianceBattleConfig_Mission.csv,11,攻击力放大系数,Atk,
AllianceBattleConfig_Mission.csv,12,护甲放大系数,Def,
AllianceBattleConfig_Mission.csv,13,魔法抗性放大系数,Mgr,
AllianceBattleConfig_Mission.csv,14,BUFF,Buff,
AllianceBattleConfig_Mission.csv,15,Key_BUFF描述,Key_BuffDes,
AllianceBattleConfig_Mission.csv,16,BUFF描述,BuffDes,
AllianceBattleConfig_Mission.csv,17,BUFF类型,BuffType,
AllianceBattleConfig_Mission.csv,18,得分倍率,Multiplying,1
AllianceBattleConfig_Mission.csv,19,通关积分,Points,
AllianceBattleConfig_Mission.csv,20,挑战奖励,FightReward,1
AllianceBattleConfig_Mission.csv,21,挑战奖励预览,FightRewardShow,1
AllianceBattleConfig_Mission.csv,22,最后一击奖励,LastReward,1
AllianceBattleConfig_Mission.csv,23,击杀奖励预览,LastRewardShow,1
AllianceBattleConfig_Mission.csv,24,押注奖励权重掉落包,StakeReward,1
AllianceBattleConfig_Mission.csv,25,评价区间,Score,
AllianceBattleConfig_Mission.csv,26,公会战DPS调整系数(新增),UnionAntiCheatDpsAdjustRatio,
AllianceBattleConfig_Mission.csv,27,关卡详情资源,DetailResources,
AllianceBattleConfig_Mission.csv,28,SS评价额外奖励,SSReward,1
AllianceBattleConfig_Mission.csv,29,限制等级,UnlockLevel,
AllianceBattleConfig_Mission.csv,30,敌人信息,EnemyInfo,
AllianceBattleConfig_Mission.csv,31,目标场景ID,SceneId,
AllianceBattleConfig_Mission.csv,32,成就条件1,TaskCondition1,
AllianceBattleConfig_Mission.csv,33,成就条件1系数提示,TaskCondition1Tip,
AllianceBattleConfig_Mission.csv,34,成就条件2,TaskCondition2,
AllianceBattleConfig_Mission.csv,35,成就条件2系数提示,TaskCondition2Tip,
AllianceBattleConfig_Mission.csv,36,是否需要破盾,NeedBreak,
AllianceBattleConfig_Mission.csv,37,击杀获得宝箱,Box,
AllianceBattleConfig_Mission.csv,38,最大战斗时长,MaxTime,
AllianceOccupyConfig_Base.csv,1,流水ID,Id,
AllianceOccupyConfig_Base.csv,2,描述,Des,
AllianceOccupyConfig_Base.csv,3,开启时间,StartTime,1
AllianceOccupyConfig_Base.csv,4,战斗周数,FightWeek,
AllianceOccupyConfig_Base.csv,5,战斗周天数,FightDay,
AllianceOccupyConfig_Base.csv,6,休赛天数,RestDay,
AllianceOccupyConfig_Base.csv,7,据点组,FortGroup,
AllianceOccupyConfig_Camp.csv,1,流水ID,Id,
AllianceOccupyConfig_Camp.csv,2,颜色,Color,
AllianceOccupyConfig_Camp.csv,3,图片,Bg,
AllianceOccupyConfig_Camp.csv,4,路线特效贴图,RouteEffect,
AllianceOccupyConfig_Config.csv,1,流水ID,Id,
AllianceOccupyConfig_Config.csv,2,描述,des,
AllianceOccupyConfig_Config.csv,3,key,Key,
AllianceOccupyConfig_Config.csv,4,值,value,
AllianceOccupyConfig_DailyStage.csv,1,流水ID,Id,
AllianceOccupyConfig_DailyStage.csv,2,Key_名称,Key_Name,
AllianceOccupyConfig_DailyStage.csv,3,名称,Name,
AllianceOccupyConfig_DailyStage.csv,4,图标,Icon,
AllianceOccupyConfig_DailyStage.csv,5,开启时间,StartTime,1
AllianceOccupyConfig_DailyStage.csv,6,Key_阶段描述,Key_Des,
AllianceOccupyConfig_DailyStage.csv,7,阶段描述,Des,
AllianceOccupyConfig_DailyStage.csv,8,特效,Effect,
AllianceOccupyConfig_DailyStage.csv,9,Key_抬头倒计时描述上,Key_DesUp,
AllianceOccupyConfig_DailyStage.csv,10,抬头倒计时描述上,DesUp,
AllianceOccupyConfig_DailyStage.csv,11,Key_抬头倒计时描述下,Key_DesDown,
AllianceOccupyConfig_DailyStage.csv,12,抬头倒计时描述下,DesDown,
AllianceOccupyConfig_DailyStage.csv,13,说明图,Image,
AllianceOccupyConfig_DailyStage.csv,14,说明文本数组,DesHelp,
AllianceOccupyConfig_Fort.csv,1,流水ID,Id,
AllianceOccupyConfig_Fort.csv,2,Key_据点描述,Key_FortDes,
AllianceOccupyConfig_Fort.csv,3,据点描述,FortDes,
AllianceOccupyConfig_Fort.csv,4,Key_据点名称,Key_FortName,
AllianceOccupyConfig_Fort.csv,5,据点名称,FortName,
AllianceOccupyConfig_Fort.csv,6,据点组,FortGroup,
AllianceOccupyConfig_Fort.csv,7,据点资源,FortRes,
AllianceOccupyConfig_Fort.csv,8,地图资源,MapRes,
AllianceOccupyConfig_Fort.csv,9,阵营资源,CampIcon,
AllianceOccupyConfig_Fort.csv,10,相连据点,Adjacent,
AllianceOccupyConfig_Fort.csv,11,是否为初始据点,Initial,
AllianceOccupyConfig_Fort.csv,12,占领积分,Points,
AllianceOccupyConfig_Fort.csv,13,阵营,Camp,
AllianceOccupyConfig_Fort.csv,14,坐标索引,PosIndex,
AllianceOccupyConfig_Fort.csv,15,大小据点,BaseType,
AllianceOccupyConfig_Level.csv,1,流水ID,Id,
AllianceOccupyConfig_Level.csv,2,Key_段位名称,Key_Name,
AllianceOccupyConfig_Level.csv,3,段位名称,Name,
AllianceOccupyConfig_Level.csv,4,图标,Icon,
AllianceOccupyConfig_Level.csv,5,大图标,BigIcon,
AllianceOccupyConfig_Level.csv,6,段位变化,ClassChange,
AllianceOccupyConfig_Level.csv,7,段位重置,ClassReset,
AllianceOccupyConfig_Level.csv,8,周期排行榜ID,WeekRankID,
AllianceOccupyConfig_Level.csv,9,赛季排行榜ID,SeasonRankID,
AllianceOccupyConfig_Level.csv,10,联盟宝箱,Box,
AllianceOccupyConfig_Level.csv,11,联盟排名宝箱,BoxReward,
AllianceOccupyConfig_Level.csv,12,是否为跨服段位,IsCrossServer,
AllianceOccupyConfig_Route.csv,1,流水ID,Id,
AllianceOccupyConfig_Route.csv,2,路线索引,RouteIndex,
AllianceOccupyConfig_Tired.csv,1,流水ID,Id,
AllianceOccupyConfig_Tired.csv,2,疲劳等级,TiredClass,
AllianceOccupyConfig_Tired.csv,3,连胜场数,WinNumber,
AllianceOccupyConfig_Tired.csv,4,图标电池个数,IconNumber,
AllianceOccupyConfig_Tired.csv,5,生命调节系数,HpRate,
AllianceOccupyConfig_Tired.csv,6,攻击调节系数,AtkRate,
AllianceOccupyConfig_Tired.csv,7,防御调节系数,DefRate,
AllianceOccupyConfig_Tired.csv,8,魔抗调节系数,MgrRate,
AreaClean_Area.csv,1,流水ID,Id,
AreaClean_Area.csv,2,Key区域名,Key_Name,
AreaClean_Area.csv,3,区域名,Name,
AreaClean_Area.csv,4,奖励图标,RewardIcon,1
AreaClean_Area.csv,5,通关奖励,Reward,1
AreaClean_Area.csv,6,前三个区域坐标,FormerlyAreaPoint,
AreaClean_Area.csv,7,前三个区域旋转,FormerlyAreaEotate,
AreaClean_Base.csv,1,流水ID,Id,
AreaClean_Base.csv,2,Key_关卡名称,Key_Name,
AreaClean_Base.csv,3,关卡名称,Name,
AreaClean_Base.csv,4,原missionID,OriginalMissionId,
AreaClean_Base.csv,5,区域id,AreaId,
AreaClean_Base.csv,6,关卡类型,Type,
AreaClean_Base.csv,7,关卡（推荐）战力,RecommendForce,
AreaClean_Base.csv,8,战力差系数,ForceRatio,
AreaClean_Base.csv,9,区域净化属性系数调整,ArenCleanAttrRate,
AreaClean_Base.csv,10,危险战力,DangerForce,
AreaClean_Base.csv,11,关卡序号,SerialNum,
AreaClean_Base.csv,12,目标场景ID,SceneId,
AreaClean_Base.csv,13,关卡限时,StageLimitedTime,
AreaClean_Base.csv,14,区域净化开战条件,StartCondition,
AreaClean_Base.csv,15,区域净化通关条件,CleanCondition,
AreaClean_Base.csv,16,镜头参数（美术用）,ShotValue,
AreaClean_Base.csv,17,挂机奖励,IdleRewards,1
AreaClean_Base.csv,18,最大挂机时长,IdleLimitedTime,
AreaClean_Base.csv,19,关卡通关奖励,ClearRewards,1
AreaClean_CleanCondition.csv,1,流水ID,Id,
AreaClean_CleanCondition.csv,2,限制条件类型,Condition,
AreaClean_CleanCondition.csv,3,限制条件参数,ConditionValue,
AreaClean_CleanCondition.csv,4,Key_限制条件文本描述,Key_ConditionText,
AreaClean_CleanCondition.csv,5,限制条件文本描述,ConditionText,
AreaClean_ProgressRewards.csv,1,奖励序号,Id,1
AreaClean_ProgressRewards.csv,2,阶段奖励,ProgressRewards,1
AreaClean_ProgressRewards.csv,3,关卡序号,SerialNum,
